Number of documents of the corpus: 15397
Number of words of the corpus: 6957
Word:bacteri Frec:8 LogProb:-10.372014397427991
Word:bacteria Frec:17 LogProb:-9.678867216868046
Word:bad Frec:229 LogProb:-7.1311596658410155
Word:badg Frec:5 LogProb:-10.777479505536157
Word:badger Frec:3 LogProb:-11.18294461364432
Word:badli Frec:19 LogProb:-9.57350670121022
Word:baffl Frec:5 LogProb:-10.777479505536157
Word:bag Frec:109 LogProb:-7.8687586089717945
Word:bahama Frec:2 LogProb:-11.470626686096102
Word:bahrain Frec:3 LogProb:-11.18294461364432
Word:bail Frec:17 LogProb:-9.678867216868046
Word:bailey Frec:2 LogProb:-11.470626686096102
Word:bailout Frec:27 LogProb:-9.237034464589007
Word:bait Frec:2 LogProb:-11.470626686096102
Word:bake Frec:19 LogProb:-9.57350670121022
Word:baker Frec:7 LogProb:-10.489797433084375
Word:bakeri Frec:9 LogProb:-10.266653881770166
Word:bal Frec:3 LogProb:-11.18294461364432
Word:balanc Frec:13 LogProb:-9.930181645148952
Word:balconi Frec:2 LogProb:-11.470626686096102
Word:bali Frec:4 LogProb:-10.959801062330111
Word:ball Frec:12 LogProb:-10.004289617302675
Word:ballard Frec:3 LogProb:-11.18294461364432
Word:ban Frec:103 LogProb:-7.9248480756228386
Word:banana Frec:4 LogProb:-10.959801062330111
Word:band Frec:11 LogProb:-10.084332324976211
Word:banda Frec:2 LogProb:-11.470626686096102
Word:bandana Frec:7 LogProb:-10.489797433084375
Word:bandanna Frec:2 LogProb:-11.470626686096102
Word:bang Frec:7 LogProb:-10.489797433084375
Word:bangladesh Frec:4 LogProb:-10.959801062330111
Word:bank Frec:409 LogProb:-6.553081815065857
Word:banker Frec:13 LogProb:-9.930181645148952
Word:bankrupt Frec:13 LogProb:-9.930181645148952
Word:bankruptci Frec:6 LogProb:-10.623328825708898
Word:bar Frec:50 LogProb:-8.637413342039885
Word:barbara Frec:2 LogProb:-11.470626686096102
Word:barber Frec:2 LogProb:-11.470626686096102
Word:bare Frec:84 LogProb:-8.126587718273894
Word:bargain Frec:12 LogProb:-10.004289617302675
Word:barista Frec:2 LogProb:-11.470626686096102
Word:baromet Frec:2 LogProb:-11.470626686096102
Word:baron Frec:2 LogProb:-11.470626686096102
Word:barr Frec:2 LogProb:-11.470626686096102
Word:barrel Frec:61 LogProb:-8.44210458971912
Word:barren Frec:8 LogProb:-10.372014397427991
Word:barri Frec:5 LogProb:-10.777479505536157
Word:barrier Frec:10 LogProb:-10.17134370196584
Word:barter Frec:5 LogProb:-10.777479505536157
Word:baruch Frec:2 LogProb:-11.470626686096102
Word:base Frec:104 LogProb:-7.915278624606688
Word:basebal Frec:2 LogProb:-11.470626686096102
Word:baselin Frec:3 LogProb:-11.18294461364432
Word:basement Frec:4 LogProb:-10.959801062330111
Word:bash Frec:4 LogProb:-10.959801062330111
Word:basi Frec:23 LogProb:-9.391185144416266
Word:basic Frec:133 LogProb:-7.6713991748133
Word:basket Frec:37 LogProb:-8.931652815037825
Word:bastard Frec:41 LogProb:-8.831569356480843
Word:bat Frec:9 LogProb:-10.266653881770166
Word:batch Frec:5 LogProb:-10.777479505536157
Word:bath Frec:2 LogProb:-11.470626686096102
Word:bathroom Frec:12 LogProb:-10.004289617302675
Word:baton Frec:2 LogProb:-11.470626686096102
Word:batter Frec:10 LogProb:-10.17134370196584
Word:batteri Frec:4 LogProb:-10.959801062330111
Word:battl Frec:72 LogProb:-8.27877953361582
Word:battlefield Frec:2 LogProb:-11.470626686096102
Word:bay Frec:30 LogProb:-9.135251770279066
Word:bayer Frec:2 LogProb:-11.470626686096102
Word:bazaar Frec:3 LogProb:-11.18294461364432
Word:bazar Frec:4 LogProb:-10.959801062330111
Word:bbl Frec:9 LogProb:-10.266653881770166
Word:be Frec:3260 LogProb:-4.479449798974892
Word:beach Frec:22 LogProb:-9.433744758835061
Word:beam Frec:2 LogProb:-11.470626686096102
Word:bean Frec:33 LogProb:-9.04287845014805
Word:beano Frec:3 LogProb:-11.18294461364432
Word:bear Frec:14 LogProb:-9.861188773662
Word:bearabl Frec:2 LogProb:-11.470626686096102
Word:beard Frec:3 LogProb:-11.18294461364432
Word:bearish Frec:5 LogProb:-10.777479505536157
Word:beast Frec:6 LogProb:-10.623328825708898
Word:beat Frec:32 LogProb:-9.072731413297731
Word:beaten Frec:6 LogProb:-10.623328825708898
Word:beaut Frec:2 LogProb:-11.470626686096102
Word:beauti Frec:3 LogProb:-11.18294461364432
Word:beaver Frec:3 LogProb:-11.18294461364432
Word:becam Frec:7 LogProb:-10.489797433084375
Word:becaus Frec:9 LogProb:-10.266653881770166
Word:becker Frec:4 LogProb:-10.959801062330111
Word:becom Frec:150 LogProb:-7.551959137949287
Word:bed Frec:34 LogProb:-9.013890913274798
Word:bedevil Frec:5 LogProb:-10.777479505536157
Word:bedroom Frec:3 LogProb:-11.18294461364432
Word:beef Frec:24 LogProb:-9.35036314989601
