Number_of_documents: 18046
Number_of_words: 7273
Word:altern Frec:41 LogProb:-9.492446211815173
Word:although Frec:31 LogProb:-9.764379927298814
Word:altruist Frec:2 LogProb:-12.131503541430432
Word:alum Frec:2 LogProb:-12.131503541430432
Word:aluminium Frec:2 LogProb:-12.131503541430432
Word:alway Frec:170 LogProb:-8.08845227359588
Word:am Frec:421 LogProb:-7.1851105160625295
Word:amanda Frec:4 LogProb:-11.620677917664441
Word:amateur Frec:2 LogProb:-12.131503541430432
Word:amati Frec:2 LogProb:-12.131503541430432
Word:amaz Frec:144 LogProb:-8.253382087677966
Word:amazon Frec:200 LogProb:-7.926810922039465
Word:ambassador Frec:5 LogProb:-11.438356360870486
Word:amber Frec:2 LogProb:-12.131503541430432
Word:ambul Frec:19 LogProb:-10.23438355654455
Word:amen Frec:16 LogProb:-10.396902486042325
Word:amend Frec:10 LogProb:-10.83222055730017
Word:amer Frec:3 LogProb:-11.84382146897865
Word:america Frec:103 LogProb:-8.585724930957168
Word:american Frec:199 LogProb:-7.931798463550504
Word:ami Frec:3 LogProb:-11.84382146897865
Word:amid Frec:308 LogProb:-7.496774553200796
Word:amidst Frec:57 LogProb:-9.169672819552122
Word:ammo Frec:7 LogProb:-11.150674288418704
Word:ammonia Frec:3 LogProb:-11.84382146897865
Word:among Frec:58 LogProb:-9.152578386192822
Word:amongst Frec:8 LogProb:-11.032891252762322
Word:amount Frec:92 LogProb:-8.697516336945284
Word:amp Frec:719 LogProb:-6.65086461808844
Word:ampl Frec:6 LogProb:-11.284205681043227
Word:amplifi Frec:2 LogProb:-12.131503541430432
Word:amway Frec:2 LogProb:-12.131503541430432
Word:an Frec:1137 LogProb:-6.193088215412264
Word:ana Frec:8 LogProb:-11.032891252762322
Word:anal Frec:5 LogProb:-11.438356360870486
Word:analog Frec:5 LogProb:-11.438356360870486
Word:analogu Frec:2 LogProb:-12.131503541430432
Word:analysi Frec:37 LogProb:-9.592529670372155
Word:analyst Frec:31 LogProb:-9.764379927298814
Word:analyt Frec:12 LogProb:-10.665166472637004
Word:ancestor Frec:3 LogProb:-11.84382146897865
Word:anchor Frec:2 LogProb:-12.131503541430432
Word:ancient Frec:3 LogProb:-11.84382146897865
Word:and Frec:11860 LogProb:-3.8491048440692652
Word:anderson Frec:4 LogProb:-11.620677917664441
Word:andi Frec:4 LogProb:-11.620677917664441
Word:andrea Frec:3 LogProb:-11.84382146897865
Word:andrew Frec:12 LogProb:-10.665166472637004
Word:android Frec:7 LogProb:-11.150674288418704
Word:anecdot Frec:4 LogProb:-11.620677917664441
Word:angel Frec:29 LogProb:-9.828918448436385
Word:angela Frec:10 LogProb:-10.83222055730017
Word:angeleno Frec:2 LogProb:-12.131503541430432
Word:angri Frec:6 LogProb:-11.284205681043227
Word:anhydr Frec:2 LogProb:-12.131503541430432
Word:ani Frec:501 LogProb:-7.011515710406812
Word:anim Frec:47 LogProb:-9.35891481919065
Word:anita Frec:3 LogProb:-11.84382146897865
Word:anna Frec:6 LogProb:-11.284205681043227
Word:annabel Frec:2 LogProb:-12.131503541430432
Word:anniversari Frec:3 LogProb:-11.84382146897865
Word:annot Frec:4 LogProb:-11.620677917664441
Word:announc Frec:219 LogProb:-7.83648828374618
Word:annoy Frec:8 LogProb:-11.032891252762322
Word:annual Frec:20 LogProb:-10.185593392375118
Word:annuiti Frec:2 LogProb:-12.131503541430432
Word:anonym Frec:5 LogProb:-11.438356360870486
Word:anoth Frec:169 LogProb:-8.094317393048279
Word:answer Frec:107 LogProb:-8.54798460297432
Word:anta Frec:2 LogProb:-12.131503541430432
Word:anthem Frec:4 LogProb:-11.620677917664441
Word:anthoni Frec:3 LogProb:-11.84382146897865
Word:anti Frec:24 LogProb:-10.01124000523034
Word:antibacteri Frec:22 LogProb:-10.094621614169391
Word:antibiot Frec:4 LogProb:-11.620677917664441
Word:antibodi Frec:4 LogProb:-11.620677917664441
Word:anticip Frec:24 LogProb:-10.01124000523034
Word:antidot Frec:3 LogProb:-11.84382146897865
Word:antimicrobi Frec:2 LogProb:-12.131503541430432
Word:antisept Frec:3 LogProb:-11.84382146897865
Word:antivir Frec:6 LogProb:-11.284205681043227
Word:antiviru Frec:2 LogProb:-12.131503541430432
Word:antonio Frec:4 LogProb:-11.620677917664441
Word:anu Frec:2 LogProb:-12.131503541430432
Word:anxieti Frec:34 LogProb:-9.674767768609128
Word:anxiou Frec:17 LogProb:-10.339744072202377
Word:anybodi Frec:15 LogProb:-10.457527107858759
Word:anymor Frec:20 LogProb:-10.185593392375118
Word:anyon Frec:267 LogProb:-7.639128849587684
Word:anyth Frec:126 LogProb:-8.38592874363995
Word:anytim Frec:7 LogProb:-11.150674288418704
Word:anyway Frec:33 LogProb:-9.70375530548238
Word:apart Frec:91 LogProb:-8.7083272530495
Word:ape Frec:3 LogProb:-11.84382146897865
Word:apex Frec:2 LogProb:-12.131503541430432
Word:apnoea Frec:4 LogProb:-11.620677917664441
Word:apo Frec:2 LogProb:-12.131503541430432
Word:apolog Frec:9 LogProb:-10.927530737104496
Word:apothecari Frec:2 LogProb:-12.131503541430432
Word:app Frec:153 LogProb:-8.193163227684911
Word:appalachian Frec:3 LogProb:-11.84382146897865
Word:appar Frec:50 LogProb:-9.298290197374214
Word:apparatu Frec:2 LogProb:-12.131503541430432
Word:apparel Frec:5 LogProb:-11.438356360870486
Word:appeal Frec:31 LogProb:-9.764379927298814
Word:appear Frec:39 LogProb:-9.541236375984605
Word:appetit Frec:2 LogProb:-12.131503541430432
Word:appl Frec:32 LogProb:-9.73360826863206
Word:applaud Frec:27 LogProb:-9.897911319923336
Word:appli Frec:76 LogProb:-8.886310408244857
Word:applianc Frec:11 LogProb:-10.74520918031054
Word:applic Frec:25 LogProb:-9.972019292077059
Word:appoint Frec:20 LogProb:-10.185593392375118
Word:appreci Frec:190 LogProb:-7.977842402051911
